order_n,order_label,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
9,9×9,16,21,,15.2,Simul_+30deg,28.4,9.44,,15.2,0.0,5.700000000000001,2.0
9,9×9,16,21,,15.2,Simul_+15deg,19.6,6.47,,15.2,0.0,5.700000000000001,2.0
9,9×9,16,21,,15.2,Simul_+0deg,15.1,5.0,,15.2,0.0,5.700000000000001,2.0
9,9×9,16,21,,15.2,Simul_-15deg,11.0,3.7,,15.2,0.0,5.700000000000001,2.0
9,9×9,16,21,,15.2,Simul_-30deg,8.2,2.87,,15.2,0.0,5.700000000000001,2.0
9,9×9,16,21,,15.2,Simul_-45deg,12.1,4.06,,15.2,0.0,5.700000000000001,2.0
9,9×9,16,21,,15.2,Simul_-60deg,12.2,4.09,,15.2,0.0,5.700000000000001,2.0
9,9×9,17,21,,16.15,Simul_+60deg,22.7,7.48,,16.15,0.0,6.649999999999999,2.0
9,9×9,17,21,,16.15,Simul_+45deg,29.0,9.63,,16.15,0.0,6.649999999999999,2.0
9,9×9,17,21,,16.15,Simul_+30deg,25.5,8.46,,16.15,0.0,6.649999999999999,2.0
9,9×9,17,21,,16.15,Simul_+15deg,17.4,5.71,,16.15,0.0,6.649999999999999,2.0
9,9×9,17,21,,16.15,Simul_+0deg,12.8,4.26,,16.15,0.0,6.649999999999999,2.0
9,9×9,17,21,,16.15,Simul_-15deg,9.0,3.09,,16.15,0.0,6.649999999999999,2.0
9,9×9,17,21,,16.15,Simul_-30deg,7.0,2.53,,16.15,0.0,6.649999999999999,2.0
9,9×9,17,21,,16.15,Simul_-45deg,12.0,4.01,,16.15,0.0,6.649999999999999,2.0
9,9×9,17,21,,16.15,Simul_-60deg,12.1,4.05,,16.15,0.0,6.649999999999999,2.0
9,9×9,18,21,,17.1,Simul_+60deg,24.9,8.26,,17.099999999999998,0.0,7.600000000000001,2.0
9,9×9,18,21,,17.1,Simul_+45deg,27.8,9.23,,17.099999999999998,0.0,7.600000000000001,2.0
9,9×9,18,21,,17.1,Simul_+30deg,22.4,7.42,,17.099999999999998,0.0,7.600000000000001,2.0
9,9×9,18,21,,17.1,Simul_+15deg,18.1,5.97,,17.099999999999998,0.0,7.600000000000001,2.0
9,9×9,18,21,,17.1,Simul_+0deg,12.1,4.05,,17.099999999999998,0.0,7.600000000000001,2.0
9,9×9,18,21,,17.1,Simul_-15deg,7.6,2.72,,17.099999999999998,0.0,7.600000000000001,2.0
9,9×9,18,21,,17.1,Simul_-30deg,7.9,2.79,,17.099999999999998,0.0,7.600000000000001,2.0
9,9×9,18,21,,17.1,Simul_-45deg,11.7,3.91,,17.099999999999998,0.0,7.600000000000001,2.0
9,9×9,18,21,,17.1,Simul_-60deg,12.2,4.08,,17.099999999999998,0.0,7.600000000000001,2.0
9,9×9,19,21,,18.05,Simul_+60deg,26.0,8.62,,18.05,0.0,8.55,2.0
9,9×9,19,21,,18.05,Simul_+45deg,26.3,8.73,,18.05,0.0,8.55,2.0
9,9×9,19,21,,18.05,Simul_+30deg,19.8,6.56,,18.05,0.0,8.55,2.0
