source,lens,rx_index,tx_index,native_rx,native_tx,freq_ghz,channel_real,channel_imag,magnitude_linear,magnitude_db,phase_deg
HFSS Hybrid Solver,without,1,2,rx1,tx_45deg,39.0,0.012001153277885,-0.028426726911516,0.03085622275816011,-30.213144777181405,-67.11157385676844
HFSS Hybrid Solver,without,1,2,rx1,tx_45deg,40.0,-0.0264380144748241,0.00882517577664345,0.027872070910853808,-31.096615235175555,161.5406655725222
HFSS Hybrid Solver,without,1,3,rx1,tx_m45deg,36.0,-0.0255374891108115,-0.00492450909665297,0.02600796300996742,-31.69787322380554,-169.0853680606293
HFSS Hybrid Solver,without,1,3,rx1,tx_m45deg,37.0,0.0264955687862038,0.0230528258501614,0.035120477573380555,-29.088791742520467,41.025338013076684
HFSS Hybrid Solver,without,1,3,rx1,tx_m45deg,38.0,-0.00925815358038668,-0.0348402308719669,0.036049342503435236,-28.862053037606135,-104.88139208984222
HFSS Hybrid Solver,without,1,3,rx1,tx_m45deg,39.0,-0.0156198426867243,0.0271585471112003,0.031329956379626524,-30.080804195631575,119.9047330431438
HFSS Hybrid Solver,without,1,3,rx1,tx_m45deg,40.0,0.0274746594717875,-0.00552021453988793,0.028023734256109996,-31.049479880102055,-11.360620167487314
HFSS Hybrid Solver,without,2,1,rx2,tx_0deg,36.0,-0.0232763643138162,0.00732053520025103,0.024400396949386102,-32.25206216869614,162.54137259297994
HFSS Hybrid Solver,without,2,1,rx2,tx_0deg,37.0,0.0217541505772311,0.00918005891111126,0.023611788347101485,-32.53742236781567,22.87931414159509
HFSS Hybrid Solver,without,2,1,rx2,tx_0deg,38.0,-0.00918624724679224,-0.0214476955052861,0.02333218337332937,-32.64089238004349,-113.18590050628472
HFSS Hybrid Solver,without,2,1,rx2,tx_0deg,39.0,-0.0105258851260816,0.018538749573081,0.021318524653945375,-33.424857078107145,119.58693602742706
HFSS Hybrid Solver,without,2,1,rx2,tx_0deg,40.0,0.0221152766507292,-0.00316165138365396,0.02234013206787393,-33.01828527599338,-8.136008269903876
HFSS Hybrid Solver,without,2,2,rx2,tx_45deg,36.0,-0.0242718911703488,-0.00968625433369801,0.026133278095224477,-31.65612220011613,-158.2443966339301
HFSS Hybrid Solver,without,2,2,rx2,tx_45deg,37.0,0.0202558486352723,0.0242236787759962,0.031576668877158515,-30.012673740242764,50.09762052758643
HFSS Hybrid Solver,without,2,2,rx2,tx_45deg,38.0,-0.00515795422590296,-0.0342752481178123,0.034661176052380366,-29.20313411553828,-98.55801177267564
HFSS Hybrid Solver,without,2,2,rx2,tx_45deg,39.0,-0.0148526780638073,0.0266816175289594,0.03053703914312545,-30.30346148451772,119.10308256149074
HFSS Hybrid Solver,without,2,2,rx2,tx_45deg,40.0,0.0287076724959675,-0.0069520821325208,0.029537466142393526,-30.592535263470857,-13.613132086927127
HFSS Hybrid Solver,without,2,3,rx2,tx_m45deg,36.0,0.00754065898708517,-0.0092942526220647,0.011968486527638525,-38.439215294715986,-50.94671830943938
HFSS Hybrid Solver,without,2,3,rx2,tx_m45deg,37.0,-0.0130294836214943,0.0111395596848318,0.017142264535781673,-35.31863614483585,139.4712057215891
HFSS Hybrid Solver,without,2,3,rx2,tx_m45deg,38.0,0.0193693573816316,0.000447886469735339,0.01937453503099206,-34.25537422639173,1.3246403379966618
HFSS Hybrid Solver,without,2,3,rx2,tx_m45deg,39.0,-0.0121926874328048,-0.0141904632305886,0.018709112045545165,-34.558936481823494,-130.66973246027553
HFSS Hybrid Solver,without,2,3,rx2,tx_m45deg,40.0,-0.00160347412329121,0.0173781713716256,0.017451990416157467,-35.16310068360014,95.27172271412323
HFSS Hybrid Solver,without,3,1,rx3,tx_0deg,36.0,-0.0215464492248341,0.00561534351755506,0.022266152721530087,-33.04709632941477,165.3927440541204
HFSS Hybrid Solver,without,3,1,rx3,tx_0deg,37.0,0.0217603809220421,0.00920050569665808,0.02362548376111295,-32.532385800178496,22.919125341659
HFSS Hybrid Solver,without,3,1,rx3,tx_0deg,38.0,-0.00927569373792126,-0.0213859306169386,0.023310867051060617,-32.64883145066264,-113.4477658520022
HFSS Hybrid Solver,without,3,1,rx3,tx_0deg,39.0,-0.0105746504367274,0.0184610697051117,0.021275204499980063,-33.44252513458684,119.80443117472826
HFSS Hybrid Solver,without,3,1,rx3,tx_0deg,40.0,0.0220147975988354,-0.00302187209598167,0.02222122913526976,-33.064638447145576,-7.815889275730093
HFSS Hybrid Solver,without,3,2,rx3,tx_45deg,36.0,0.00646482712778709,-0.0114380681500055,0.013138622180287478,-37.62900351877059,-60.52474846506433
