lens,rx_index,tx_index,freq_ghz,solver_a,solver_b,magnitude_difference_db,absolute_magnitude_difference_db,centered_shape_difference_db,absolute_centered_shape_difference_db,circular_phase_difference_deg,phase_difference_aligned_deg
with,3,1,39.0,HFSS Hybrid Solver,SIonna-RT,-13.709942142194848,13.709942142194848,-9.169622057025364,9.169622057025364,82.66581371100972,22.716824110596484
with,3,2,37.0,HFSS Hybrid Solver,SIonna-RT,8.244717614730042,8.244717614730042,1.0300177303167288,1.0300177303167288,176.35390123353142,138.16433236349724
with,3,2,38.0,HFSS Hybrid Solver,SIonna-RT,5.990826892528808,5.990826892528808,-1.2238729918845053,1.2238729918845053,33.869844941699924,-4.319723928334248
with,3,2,39.0,HFSS Hybrid Solver,SIonna-RT,7.40855514598109,7.40855514598109,0.19385526156777644,0.19385526156777644,-95.65503956512883,-133.844608435163
with,3,3,37.0,HFSS Hybrid Solver,SIonna-RT,1.172826162467672,1.172826162467672,0.5326868257981054,0.5326868257981054,-57.45645635133805,-24.758919412699143
with,3,3,38.0,HFSS Hybrid Solver,SIonna-RT,0.755703715817905,0.755703715817905,0.1155643791483385,0.1155643791483385,-160.70892758223084,-128.01139064359194
with,3,3,39.0,HFSS Hybrid Solver,SIonna-RT,-0.008111868276877487,0.008111868276877487,-0.648251204946444,0.648251204946444,120.07277311765216,152.77031005629107
without,1,1,37.0,HFSS Hybrid Solver,SIonna-RT,0.6343705616729274,0.6343705616729274,-0.328216364736587,0.328216364736587,-34.717498855209996,68.87411653169438
without,1,1,38.0,HFSS Hybrid Solver,SIonna-RT,1.7250389487357687,1.7250389487357687,0.7624520223262543,0.7624520223262543,-106.44014496552724,-2.848529578622859
without,1,1,39.0,HFSS Hybrid Solver,SIonna-RT,0.5283512688198577,0.5283512688198577,-0.43423565758965665,0.43423565758965665,-169.6172023399759,-66.02558695307152
without,1,2,37.0,HFSS Hybrid Solver,SIonna-RT,0.5383581408158911,0.5383581408158911,-0.39452963213914316,0.39452963213914316,151.29617489761264,68.85018160688068
