"patch_W [mm]","Freq [GHz]","S(1,1) []"
2.4,40.9375,-0.480235934977227 + 0.116028288756445i
2.4,41,-0.480661431536942 + 0.143793647579755i
2.4,41.0625,-0.479355927357936 + 0.171737814408076i
2.4,41.125,-0.476314059712943 + 0.199749488193145i
2.4,41.1875,-0.471537498969436 + 0.227718091038609i
2.4,41.25,-0.46503481957717 + 0.255534183878358i
2.4,41.3125,-0.456821348976541 + 0.283089871252834i
2.4,41.375,-0.446918994700211 + 0.310279194014172i
2.4,41.4375,-0.435356050054655 + 0.336998508706004i
2.4,41.5,-0.422166978900448 + 0.363146852300843i
2.4,41.5625,-0.407392180196147 + 0.388626290938804i
2.4,41.625,-0.39107773312632 + 0.413342251297648i
2.4,41.6875,-0.373275123795459 + 0.437203833236334i
2.4,41.75,-0.354040954632287 + 0.460124102392442i
2.4,41.8125,-0.333436637809201 + 0.482020361477802i
2.4,41.875,-0.311528074135663 + 0.502814399105416i
2.4,41.9375,-0.288385319028838 + 0.522432715092789i
2.4,42,-0.26408223729625 + 0.540806721320563i
2.4,42.0625,-0.238696148580774 + 0.557872917378574i
2.4,42.125,-0.212307465415154 + 0.573573040401522i
2.4,42.1875,-0.184999325908833 + 0.587854188680619i
2.4,42.25,-0.156857223142048 + 0.600668918832694i
2.4,42.3125,-0.127968633369124 + 0.611975316510429i
2.4,42.375,-0.0984226451331709 + 0.62173704084336i
2.4,42.4375,-0.0683095913674007 + 0.629923343004477i
2.4,42.5,-0.0377206865040372 + 0.636509059497926i
2.4,42.5625,-0.0067476705310727 + 0.641474580955254i
2.4,42.625,0.0245175381677847 + 0.644805797407039i
2.4,42.6875,0.0559831794813432 + 0.646494021160397i
2.4,42.75,0.0875579761833148 + 0.64653588855805i
2.4,42.8125,0.119151445083493 + 0.644933242019551i
2.4,42.875,0.150674193480534 + 0.641692993868793i
2.4,42.9375,0.182038199853313 + 0.636826973533928i
2.4,43,0.213157077903728 + 0.630351759766532i
2.4,43.0625,0.243946323239096 + 0.622288499567241i
2.4,43.125,0.274323542154361 + 0.612662715526199i
2.4,43.1875,0.304208662141866 + 0.60150410328977i
2.4,43.25,0.333524123917903 + 0.588846320851337i
2.4,43.3125,0.362195054910487 + 0.574726771334794i
2.4,43.375,0.390149424300313 + 0.559186380895721i
2.4,43.4375,0.417318179846596 + 0.542269373308341i
2.4,43.5,0.44363536686029 + 0.524023042737294i
2.4,43.5625,0.469038229808298 + 0.504497526113365i
2.4,43.625,0.493467297142914 + 0.48374557644278i
2.4,43.6875,0.516866450049964 + 0.461822338282146i
2.4,43.75,0.539182975896314 + 0.438785126506986i
2.4,43.8125,0.560367607232104 + 0.414693209392802i
2.4,43.875,0.580374547264904 + 0.389607596915511i
2.4,43.9375,0.599161482772262 + 0.363590835064141i
2.4,44,0.616689585455607 + 0.336706806845257i
2.4,44.0625,0.632923502763229 + 0.309020540546465i
2.4,44.125,0.64783133922341 + 0.280598025717573i
2.4,44.1875,0.661384629331811 + 0.251506037223807i
2.4,44.25,0.673558303030898 + 0.221811967627164i
2.4,44.3125,0.684330644804766 + 0.191583668061022i
2.4,44.375,0.693683247391294 + 0.160889297680776i
2.4,44.4375,0.701600961086616 + 0.129797181701012i
2.4,44.5,0.708071839585553 + 0.0983756779693628i
2.4,44.5625,0.713087083267446 + 0.066693051980623i
2.4,44.625,0.716640980800809 + 0.0348173602048127i
2.4,44.6875,0.718730849903567 + 0.00281634159335491i
2.4,44.75,0.719356978059095 - 0.0292426828569129i
2.4,44.8125,0.718522563951693 - 0.0612929025536927i
2.4,44.875,0.716233660347492 - 0.0932681017541047i
2.4,44.9375,0.71249911910431 - 0.125102735837023i
2.4,45,0.707330538939027 - 0.156731999008769i
2.4,45.0625,0.700742216498184 - 0.188091882712803i
2.4,45.125,0.692751101138024 - 0.219119223527754i
2.4,45.1875,0.68337675357134 - 0.249751738639772i
2.4,45.25,0.67264130808502 - 0.279928045982584i
2.4,45.3125,0.660569437203581 - 0.309587664742227i
2.4,45.375,0.647188316166869 - 0.338670989992853i
2.4,45.4375,0.632527581869087 - 0.367119232639362i
2.4,45.5,0.616619276036222 - 0.394874312560088i
2.4,45.5625,0.599497753798946 - 0.421878689162037i
2.4,45.625,0.581199523800922 - 0.448075110674548i
2.4,45.6875,0.561762960482796 - 0.473406264806692i
2.4,45.75,0.541227787779651 - 0.49781432725905i
2.4,45.8125,0.519634171758693 - 0.521240449782891i
2.4,45.875,0.497021183816884 - 0.543624343826803i
2.4,45.9375,0.47342435052868 - 0.564904363473364i
2.4,46,0.448872138024869 - 0.585018943439737i
2.4,46.0625,0.423381871803721 - 0.60391085581926i
2.4,46.125,0.396957275033766 - 0.621535967123859i
2.4,46.1875,0.369592466459601 - 0.637876413657646i
2.4,46.25,0.341288239078349 - 0.652952376687416i
2.4,46.3125,0.312079586072299 - 0.666819276132869i
2.4,46.375,0.282057686080137 - 0.679540314514946i
2.4,46.4375,0.251363256553223 - 0.691146536692863i
2.4,46.5,0.220150937290683 - 0.701615181595665i
2.4,46.5625,0.188552805886967 - 0.710881132901809i
2.4,46.625,0.156664593669575 - 0.718865212091472i
2.4,46.6875,0.124552687688893 - 0.725496703349542i
2.4,46.75,0.0922678190522009 - 0.730722447755626i
2.4,46.8125,0.0598559457679432 - 0.734506615171392i
2.4,46.875,0.0273641986284898 - 0.736827004344444i
2.4,46.9375,-0.00515682067908854 - 0.737671220312616i
2.4,47,-0.0376526953491624 - 0.737033835241878i
2.4,47.0625,-0.0700656693604306 - 0.734914574897996i
2.4,47.125,-0.102335361414598 - 0.731317263277037i
2.4,47.1875,-0.134399470691197 - 0.726249253191559i
2.4,47.25,-0.166194393966448 - 0.719721144104331i
2.4,47.3125,-0.197655743786805 - 0.711746659719669i
2.4,47.375,-0.228718781862524 - 0.702342608660413i
2.4,47.4375,-0.259318787011368 - 0.691528883760877i
2.4,47.5,-0.289391375097191 - 0.679328474745827i
2.4,47.5625,-0.318872784645816 - 0.665767480195464i
2.4,47.625,-0.347700138126615 - 0.650875111015446i
2.4,47.6875,-0.375811685847187 - 0.634683681180202i
2.4,47.75,-0.403147037083635 - 0.617228583501473i
2.4,47.8125,-0.429647381354159 - 0.598548249285448i
2.4,47.875,-0.455255701501555 - 0.578684091374316i
2.4,47.9375,-0.479916979359069 - 0.557680430442121i
2.4,48,-0.503578394139037 - 0.535584404653472i
