trajectory,system,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
Linear,Without Lens,15,21,,14.25,Simul_+4,21.1,7.0,,14.25,0.0,4.75,2.0
Linear,Without Lens,15,21,,14.25,Simul_+3,21.1,7.0,,14.25,0.0,4.75,2.0
Linear,Without Lens,15,21,,14.25,Simul_+2,21.1,7.0,,14.25,0.0,4.75,2.0
Linear,Without Lens,15,21,,14.25,Simul_+1,21.1,7.0,,14.25,0.0,4.75,2.0
Linear,Without Lens,15,21,,14.25,Simul_0,21.1,7.0,,14.25,0.0,4.75,2.0
Linear,Without Lens,15,21,,14.25,Simul_-1,21.1,7.0,,14.25,0.0,4.75,2.0
Linear,Without Lens,15,21,,14.25,Simul_-2,21.1,7.01,,14.25,0.0,4.75,2.0
Linear,Without Lens,15,21,,14.25,Simul_-3,21.1,7.0,,14.25,0.0,4.75,2.0
Linear,Without Lens,15,21,,14.25,Simul_-4,21.1,7.02,,14.25,0.0,4.75,2.0
Linear,Without Lens,16,21,,15.2,Simul_+4,20.4,6.77,,15.2,0.0,5.700000000000001,2.0
Linear,Without Lens,16,21,,15.2,Simul_+3,20.4,6.77,,15.2,0.0,5.700000000000001,2.0
Linear,Without Lens,16,21,,15.2,Simul_+2,20.4,6.78,,15.2,0.0,5.700000000000001,2.0
Linear,Without Lens,16,21,,15.2,Simul_+1,20.4,6.76,,15.2,0.0,5.700000000000001,2.0
Linear,Without Lens,16,21,,15.2,Simul_0,20.4,6.77,,15.2,0.0,5.700000000000001,2.0
Linear,Without Lens,16,21,,15.2,Simul_-1,20.4,6.76,,15.2,0.0,5.700000000000001,2.0
Linear,Without Lens,16,21,,15.2,Simul_-2,20.4,6.77,,15.2,0.0,5.700000000000001,2.0
Linear,Without Lens,16,21,,15.2,Simul_-3,20.4,6.77,,15.2,0.0,5.700000000000001,2.0
Linear,Without Lens,16,21,,15.2,Simul_-4,20.4,6.77,,15.2,0.0,5.700000000000001,2.0
