scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_+0deg,0,65.87999725,65.87999725,0.00000000,-7.88913631
Simul_+0deg,0,66.23999786,66.23999786,0.00000000,-7.81186628
Simul_+0deg,0,66.59999847,66.59999847,0.00000000,-7.71800756
Simul_+0deg,0,66.95999146,66.95999146,0.00000000,-7.59225464
Simul_+0deg,0,67.31999207,67.31999207,0.00000000,-7.43735743
Simul_+0deg,0,67.68000031,67.68000031,0.00000000,-7.25643873
Simul_+0deg,0,68.04000092,68.04000092,0.00000000,-6.98675585
Simul_+0deg,0,68.39999390,68.39999390,0.00000000,-6.13456488
Simul_+0deg,0,68.75999451,68.75999451,0.00000000,-5.24736643
Simul_+0deg,0,69.11999512,69.11999512,0.00000000,-4.36858463
Simul_+0deg,0,69.47999573,69.47999573,0.00000000,-3.52115512
Simul_+0deg,0,69.83999634,69.83999634,0.00000000,-2.71551418
Simul_+0deg,0,70.19999695,70.19999695,0.00000000,-1.67884088
Simul_+0deg,0,70.55999756,70.55999756,0.00000000,-0.53990507
Simul_+0deg,0,70.91999817,70.91999817,0.00000000,0.47977892
Simul_+0deg,0,71.27999115,71.27999115,0.00000000,1.40038657
Simul_+0deg,0,71.63999939,71.63999939,0.00000000,2.23807430
Simul_+0deg,0,72.00000000,72.00000000,0.00000000,3.00570941
Simul_+0deg,0,72.36000061,72.36000061,0.00000000,3.85927820
Simul_+0deg,0,72.71999359,72.71999359,0.00000000,4.63743925
Simul_+0deg,0,73.07999420,73.07999420,0.00000000,5.35228205
Simul_+0deg,0,73.43999481,73.43999481,0.00000000,6.01327229
Simul_+0deg,0,73.79999542,73.79999542,0.00000000,6.62789583
Simul_+0deg,0,74.15999603,74.15999603,0.00000000,7.20467186
Simul_+0deg,0,74.51999664,74.51999664,0.00000000,7.74872971
Simul_+0deg,0,74.87999725,74.87999725,0.00000000,8.26089859
Simul_+0deg,0,75.23999023,75.23999023,0.00000000,8.74469280
Simul_+0deg,0,75.59999084,75.59999084,0.00000000,9.20306778
Simul_+0deg,0,75.95999908,75.95999908,0.00000000,9.63857746
Simul_+0deg,0,76.31999969,76.31999969,0.00000000,10.01956081
Simul_+0deg,0,76.67999268,76.67999268,0.00000000,10.38167095
Simul_+0deg,0,77.03999329,77.03999329,0.00000000,10.73035812
Simul_+0deg,0,77.39999390,77.39999390,0.00000000,11.06651306
Simul_+0deg,0,77.76000214,77.76000214,0.00000000,11.39093590
Simul_+0deg,0,78.11999512,78.11999512,0.00000000,11.69008350
Simul_+0deg,0,78.47999573,78.47999573,0.00000000,11.95398808
Simul_+0deg,0,78.83999634,78.83999634,0.00000000,12.21302032
