scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_-45deg,-45,106.91999054,106.91999054,0.00000000,-7.35869217
Simul_-45deg,-45,107.27999115,107.27999115,0.00000000,-7.02251434
Simul_-45deg,-45,107.63999176,107.63999176,0.00000000,-6.65462017
Simul_-45deg,-45,108.00000000,108.00000000,0.00000000,-6.26439476
Simul_-45deg,-45,108.35999298,108.35999298,0.00000000,-6.60135746
Simul_-45deg,-45,108.71999359,108.71999359,0.00000000,-6.91307831
Simul_-45deg,-45,109.07999420,109.07999420,0.00000000,-7.19173622
Simul_-45deg,-45,109.43999481,109.43999481,0.00000000,-7.42907524
Simul_-45deg,-45,109.79998779,109.79998779,0.00000000,-7.61703014
Simul_-45deg,-45,110.15999603,110.15999603,0.00000000,-7.97921562
Simul_-45deg,-45,110.51999664,110.51999664,0.00000000,-8.63356113
Simul_-45deg,-45,110.87999725,110.87999725,0.00000000,-9.31359863
Simul_-45deg,-45,111.23999023,111.23999023,0.00000000,-10.01354980
Simul_-45deg,-45,111.59999084,111.59999084,0.00000000,-10.72244453
Simul_-45deg,-45,111.95999908,111.95999908,0.00000000,-11.42174625
Simul_-45deg,-45,112.31999207,112.31999207,0.00000000,-12.02448082
Simul_-45deg,-45,112.67999268,112.67999268,0.00000000,-12.58695412
Simul_-45deg,-45,113.03999329,113.03999329,0.00000000,-13.09228420
Simul_-45deg,-45,113.39999390,113.39999390,0.00000000,-13.50877190
Simul_-45deg,-45,113.75999451,113.75999451,0.00000000,-13.80292702
Simul_-45deg,-45,114.11999512,114.11999512,0.00000000,-13.86508751
Simul_-45deg,-45,114.47999573,114.47999573,0.00000000,-13.66915798
Simul_-45deg,-45,114.83999634,114.83999634,0.00000000,-13.41757393
Simul_-45deg,-45,115.19999695,115.19999695,0.00000000,-13.11990643
Simul_-45deg,-45,115.55998993,115.55998993,0.00000000,-12.78596973
Simul_-45deg,-45,115.91999817,115.91999817,0.00000000,-12.42494106
Simul_-45deg,-45,116.27999115,116.27999115,0.00000000,-12.19279861
Simul_-45deg,-45,116.63999176,116.63999176,0.00000000,-11.99248695
Simul_-45deg,-45,117.00000000,117.00000000,0.00000000,-11.78398991
