scenario,waypoint,distance_along_m,rx_config_index,rx_config_name,mean_snr_db,capacity_bits_s_hz
half_lens,33,25.91,0,Simul_+60deg,5.9,2.28
half_lens,33,25.91,1,Simul_+45deg,8.1,2.86
half_lens,33,25.91,2,Simul_+30deg,4.9,2.02
half_lens,33,25.91,3,Simul_+15deg,1.7,1.31
half_lens,33,25.91,4,Simul_+0deg,1.5,1.25
half_lens,33,25.91,5,Simul_-15deg,2.2,1.4
half_lens,33,25.91,6,Simul_-30deg,0.9,1.14
half_lens,33,25.91,7,Simul_-45deg,-0.1,0.97
half_lens,33,25.91,8,Simul_-60deg,2.1,1.38
half_lens,34,26.7,0,Simul_+60deg,5.1,2.07
half_lens,34,26.7,1,Simul_+45deg,6.6,2.44
half_lens,34,26.7,2,Simul_+30deg,5.1,2.06
half_lens,34,26.7,3,Simul_+15deg,1.5,1.25
half_lens,34,26.7,4,Simul_+0deg,1.8,1.32
half_lens,34,26.7,5,Simul_-15deg,1.6,1.25
half_lens,34,26.7,6,Simul_-30deg,-0.4,0.92
half_lens,34,26.7,7,Simul_-45deg,-0.8,0.86
half_lens,34,26.7,8,Simul_-60deg,1.4,1.24
half_lens,35,27.48,0,Simul_+60deg,3.8,1.75
half_lens,35,27.48,1,Simul_+45deg,5.3,2.11
half_lens,35,27.48,2,Simul_+30deg,5.3,2.12
half_lens,35,27.48,3,Simul_+15deg,2.1,1.38
half_lens,35,27.48,4,Simul_+0deg,1.8,1.3
half_lens,35,27.48,5,Simul_-15deg,1.7,1.29
half_lens,35,27.48,6,Simul_-30deg,-0.2,0.96
half_lens,35,27.48,7,Simul_-45deg,-1.0,0.83
half_lens,35,27.48,8,Simul_-60deg,1.4,1.25
half_lens,36,28.27,0,Simul_+60deg,2.0,1.36
half_lens,36,28.27,1,Simul_+45deg,3.4,1.63
half_lens,36,28.27,2,Simul_+30deg,5.8,2.24
half_lens,36,28.27,3,Simul_+15deg,2.7,1.5
half_lens,36,28.27,4,Simul_+0deg,1.9,1.33
half_lens,36,28.27,5,Simul_-15deg,0.6,1.09
half_lens,36,28.27,6,Simul_-30deg,-0.5,0.91
half_lens,36,28.27,7,Simul_-45deg,-1.1,0.82
half_lens,36,28.27,8,Simul_-60deg,1.6,1.26
