scenario,waypoint,distance_along_m,rx_config_index,rx_config_name,mean_snr_db,capacity_bits_s_hz
half_wolens,28,21.98,2,Simul_+2,-1.6,0.74
half_wolens,28,21.98,3,Simul_+1,-1.6,0.75
half_wolens,28,21.98,4,Simul_0,-1.6,0.75
half_wolens,28,21.98,5,Simul_-1,-1.6,0.75
half_wolens,28,21.98,6,Simul_-2,-1.7,0.74
half_wolens,28,21.98,7,Simul_-3,-1.6,0.75
half_wolens,28,21.98,8,Simul_-4,-1.7,0.74
half_wolens,29,22.77,0,Simul_+4,-2.0,0.71
half_wolens,29,22.77,1,Simul_+3,-1.9,0.71
half_wolens,29,22.77,2,Simul_+2,-1.9,0.72
half_wolens,29,22.77,3,Simul_+1,-1.8,0.73
half_wolens,29,22.77,4,Simul_0,-1.8,0.72
half_wolens,29,22.77,5,Simul_-1,-1.9,0.72
half_wolens,29,22.77,6,Simul_-2,-2.0,0.71
half_wolens,29,22.77,7,Simul_-3,-1.9,0.71
half_wolens,29,22.77,8,Simul_-4,-1.9,0.72
half_wolens,30,23.55,0,Simul_+4,-2.3,0.66
half_wolens,30,23.55,1,Simul_+3,-2.3,0.66
half_wolens,30,23.55,2,Simul_+2,-2.3,0.67
half_wolens,30,23.55,3,Simul_+1,-2.3,0.67
half_wolens,30,23.55,4,Simul_0,-2.3,0.66
half_wolens,30,23.55,5,Simul_-1,-2.2,0.67
half_wolens,30,23.55,6,Simul_-2,-2.2,0.67
half_wolens,30,23.55,7,Simul_-3,-2.2,0.67
half_wolens,30,23.55,8,Simul_-4,-2.2,0.67
half_wolens,31,24.34,0,Simul_+4,-3.4,0.52
half_wolens,31,24.34,1,Simul_+3,-3.3,0.54
half_wolens,31,24.34,2,Simul_+2,-3.0,0.57
half_wolens,31,24.34,3,Simul_+1,-2.7,0.6
half_wolens,31,24.34,4,Simul_0,-2.5,0.62
half_wolens,31,24.34,5,Simul_-1,-2.4,0.63
half_wolens,31,24.34,6,Simul_-2,-2.3,0.65
half_wolens,31,24.34,7,Simul_-3,-2.1,0.67
half_wolens,31,24.34,8,Simul_-4,-2.0,0.69
half_wolens,32,25.12,0,Simul_+4,-2.8,0.61
half_wolens,32,25.12,1,Simul_+3,-2.8,0.6
half_wolens,32,25.12,2,Simul_+2,-2.8,0.61
half_wolens,32,25.12,3,Simul_+1,-2.6,0.62
half_wolens,32,25.12,4,Simul_0,-2.6,0.62
half_wolens,32,25.12,5,Simul_-1,-2.8,0.61
half_wolens,32,25.12,6,Simul_-2,-2.8,0.61
half_wolens,32,25.12,7,Simul_-3,-2.7,0.61
half_wolens,32,25.12,8,Simul_-4,-2.8,0.61
half_wolens,33,25.91,0,Simul_+4,-3.2,0.56
half_wolens,33,25.91,1,Simul_+3,-3.2,0.56
half_wolens,33,25.91,2,Simul_+2,-3.0,0.58
half_wolens,33,25.91,3,Simul_+1,-2.8,0.6
half_wolens,33,25.91,4,Simul_0,-2.8,0.6
half_wolens,33,25.91,5,Simul_-1,-2.9,0.59
half_wolens,33,25.91,6,Simul_-2,-2.9,0.6
half_wolens,33,25.91,7,Simul_-3,-2.8,0.61
half_wolens,33,25.91,8,Simul_-4,-2.8,0.61
half_wolens,34,26.7,0,Simul_+4,-2.5,0.63
half_wolens,34,26.7,1,Simul_+3,-2.7,0.61
half_wolens,34,26.7,2,Simul_+2,-2.9,0.59
half_wolens,34,26.7,3,Simul_+1,-2.9,0.59
half_wolens,34,26.7,4,Simul_0,-2.8,0.61
half_wolens,34,26.7,5,Simul_-1,-2.7,0.61
half_wolens,34,26.7,6,Simul_-2,-2.8,0.6
half_wolens,34,26.7,7,Simul_-3,-2.9,0.59
half_wolens,34,26.7,8,Simul_-4,-3.0,0.59
half_wolens,35,27.48,0,Simul_+4,-2.7,0.61
half_wolens,35,27.48,1,Simul_+3,-2.4,0.64
half_wolens,35,27.48,2,Simul_+2,-2.7,0.62
half_wolens,35,27.48,3,Simul_+1,-3.1,0.57
half_wolens,35,27.48,4,Simul_0,-3.2,0.56
half_wolens,35,27.48,5,Simul_-1,-3.0,0.58
half_wolens,35,27.48,6,Simul_-2,-3.0,0.58
half_wolens,35,27.48,7,Simul_-3,-3.1,0.58
half_wolens,35,27.48,8,Simul_-4,-3.0,0.58
half_wolens,36,28.27,0,Simul_+4,-2.7,0.61
half_wolens,36,28.27,1,Simul_+3,-2.5,0.64
half_wolens,36,28.27,2,Simul_+2,-2.5,0.64
half_wolens,36,28.27,3,Simul_+1,-2.7,0.62
half_wolens,36,28.27,4,Simul_0,-2.8,0.6
half_wolens,36,28.27,5,Simul_-1,-2.8,0.61
half_wolens,36,28.27,6,Simul_-2,-2.6,0.63
half_wolens,36,28.27,7,Simul_-3,-2.4,0.66
half_wolens,36,28.27,8,Simul_-4,-2.5,0.64
