scenario,lens_angle_deg,yz_angle_deg,theta_deg,phi_deg,gain_db
Simul_-45deg,-45,110.15999603,110.15999603,90.00000000,-2.92133069
Simul_-45deg,-45,110.51999664,110.51999664,90.00000000,-2.88803363
Simul_-45deg,-45,110.87999725,110.87999725,90.00000000,-2.85425186
Simul_-45deg,-45,111.23999023,111.23999023,90.00000000,-2.81999803
Simul_-45deg,-45,111.59999084,111.59999084,90.00000000,-2.78528571
Simul_-45deg,-45,111.95999908,111.95999908,90.00000000,-2.75012875
Simul_-45deg,-45,112.31999207,112.31999207,90.00000000,-2.74255633
Simul_-45deg,-45,112.67999268,112.67999268,90.00000000,-2.73731804
Simul_-45deg,-45,113.03999329,113.03999329,90.00000000,-2.73087072
Simul_-45deg,-45,113.39999390,113.39999390,90.00000000,-2.72322178
Simul_-45deg,-45,113.75999451,113.75999451,90.00000000,-2.71437645
Simul_-45deg,-45,114.11999512,114.11999512,90.00000000,-2.71542597
Simul_-45deg,-45,114.47999573,114.47999573,90.00000000,-2.73719406
Simul_-45deg,-45,114.83999634,114.83999634,90.00000000,-2.75735760
Simul_-45deg,-45,115.19999695,115.19999695,90.00000000,-2.77589655
Simul_-45deg,-45,115.55998993,115.55998993,90.00000000,-2.79278779
Simul_-45deg,-45,115.91999817,115.91999817,90.00000000,-2.80801177
Simul_-45deg,-45,116.27999115,116.27999115,90.00000000,-2.84141755
Simul_-45deg,-45,116.63999176,116.63999176,90.00000000,-2.87936497
Simul_-45deg,-45,117.00000000,117.00000000,90.00000000,-2.91621971
Simul_-45deg,-45,117.35999298,117.35999298,90.00000000,-2.95194602
Simul_-45deg,-45,117.72000122,117.72000122,90.00000000,-2.98651981
Simul_-45deg,-45,118.07998657,118.07998657,90.00000000,-3.02148485
Simul_-45deg,-45,118.43999481,118.43999481,90.00000000,-3.06146097
Simul_-45deg,-45,118.79998779,118.79998779,90.00000000,-3.10134983
Simul_-45deg,-45,119.15999603,119.15999603,90.00000000,-3.14114761
Simul_-45deg,-45,119.51999664,119.51999664,90.00000000,-3.18084598
Simul_-45deg,-45,119.87998962,119.87998962,90.00000000,-3.22043896
Simul_-45deg,-45,120.23999786,120.23999786,90.00000000,-3.24772477
Simul_-45deg,-45,120.59999084,120.59999084,90.00000000,-3.26863170
Simul_-45deg,-45,120.95999146,120.95999146,90.00000000,-3.28922296
Simul_-45deg,-45,121.31999969,121.31999969,90.00000000,-3.30949283
Simul_-45deg,-45,121.67999268,121.67999268,90.00000000,-3.32943487
Simul_-45deg,-45,122.03999329,122.03999329,90.00000000,-3.34525466
Simul_-45deg,-45,122.39998627,122.39998627,90.00000000,-3.32946515
Simul_-45deg,-45,122.75999451,122.75999451,90.00000000,-3.31168294
Simul_-45deg,-45,123.12000275,123.12000275,90.00000000,-3.29193449
Simul_-45deg,-45,123.47998810,123.47998810,90.00000000,-3.27024579
