scenario,lens_angle_deg,horizontal_angle_deg,theta_deg,phi_deg,gain_db
Simul_-45deg,-45,-113.03999329,90.00000000,-113.03999329,-5.45472860
Simul_-45deg,-45,-112.67999268,90.00000000,-112.67999268,-5.19611835
Simul_-45deg,-45,-112.31999207,90.00000000,-112.31999207,-4.90596819
Simul_-45deg,-45,-111.95999908,90.00000000,-111.95999908,-4.57466984
Simul_-45deg,-45,-111.59999084,90.00000000,-111.59999084,-4.11237812
Simul_-45deg,-45,-111.23999023,90.00000000,-111.23999023,-3.66756797
Simul_-45deg,-45,-110.87999725,90.00000000,-110.87999725,-3.23962069
Simul_-45deg,-45,-110.51999664,90.00000000,-110.51999664,-2.82783937
Simul_-45deg,-45,-110.15999603,90.00000000,-110.15999603,-2.43141794
Simul_-45deg,-45,-109.79998779,90.00000000,-109.79998779,-2.06331205
Simul_-45deg,-45,-109.43999481,90.00000000,-109.43999481,-1.71795130
Simul_-45deg,-45,-109.07999420,90.00000000,-109.07999420,-1.38329268
Simul_-45deg,-45,-108.71999359,90.00000000,-108.71999359,-1.05888045
Simul_-45deg,-45,-108.35999298,90.00000000,-108.35999298,-0.74429798
Simul_-45deg,-45,-108.00000000,90.00000000,-108.00000000,-0.43910789
Simul_-45deg,-45,-107.63999176,90.00000000,-107.63999176,-0.21016629
Simul_-45deg,-45,-107.27999115,90.00000000,-107.27999115,0.02044623
Simul_-45deg,-45,-106.91999054,90.00000000,-106.91999054,0.25190073
Simul_-45deg,-45,-106.55999756,90.00000000,-106.55999756,0.48344836
Simul_-45deg,-45,-106.19999695,90.00000000,-106.19999695,0.71447980
Simul_-45deg,-45,-105.83998871,90.00000000,-105.83998871,0.89613372
Simul_-45deg,-45,-105.47999573,90.00000000,-105.47999573,1.02356422
Simul_-45deg,-45,-105.11999512,90.00000000,-105.11999512,1.15934658
Simul_-45deg,-45,-104.75999451,90.00000000,-104.75999451,1.30259871
Simul_-45deg,-45,-104.39999390,90.00000000,-104.39999390,1.45247638
Simul_-45deg,-45,-104.03999329,90.00000000,-104.03999329,1.60815382
Simul_-45deg,-45,-103.67999268,90.00000000,-103.67999268,1.65480208
Simul_-45deg,-45,-103.31999207,90.00000000,-103.31999207,1.69755459
Simul_-45deg,-45,-102.95999146,90.00000000,-102.95999146,1.75069571
Simul_-45deg,-45,-102.59999847,90.00000000,-102.59999847,1.81384206
Simul_-45deg,-45,-102.23999786,90.00000000,-102.23999786,1.88655519
Simul_-45deg,-45,-101.87999725,90.00000000,-101.87999725,1.93270278
Simul_-45deg,-45,-101.51998901,90.00000000,-101.51998901,1.91739440
Simul_-45deg,-45,-101.15999603,90.00000000,-101.15999603,1.91250789
Simul_-45deg,-45,-100.79999542,90.00000000,-100.79999542,1.91807985
Simul_-45deg,-45,-100.43999481,90.00000000,-100.43999481,1.93406916
Simul_-45deg,-45,-100.07999420,90.00000000,-100.07999420,1.96036029
Simul_-45deg,-45,-99.71999359,90.00000000,-99.71999359,1.93552959
Simul_-45deg,-45,-99.35999298,90.00000000,-99.35999298,1.90331686
Simul_-45deg,-45,-98.99999237,90.00000000,-98.99999237,1.88143504
Simul_-45deg,-45,-98.63999176,90.00000000,-98.63999176,1.87004542
Simul_-45deg,-45,-98.27999878,90.00000000,-98.27999878,1.86922908
Simul_-45deg,-45,-97.91999817,90.00000000,-97.91999817,1.86071634
Simul_-45deg,-45,-97.55998993,90.00000000,-97.55998993,1.79770350
Simul_-45deg,-45,-97.19999695,90.00000000,-97.19999695,1.74374747
Simul_-45deg,-45,-96.83999634,90.00000000,-96.83999634,1.69920516
Simul_-45deg,-45,-96.47999573,90.00000000,-96.47999573,1.66437078
Simul_-45deg,-45,-96.11999512,90.00000000,-96.11999512,1.63948405
Simul_-45deg,-45,-95.75999451,90.00000000,-95.75999451,1.57304752
Simul_-45deg,-45,-95.39999390,90.00000000,-95.39999390,1.48774266
Simul_-45deg,-45,-95.03999329,90.00000000,-95.03999329,1.40911937
Simul_-45deg,-45,-94.67999268,90.00000000,-94.67999268,1.33758354
Simul_-45deg,-45,-94.31999969,90.00000000,-94.31999969,1.27351427
Simul_-45deg,-45,-93.95999908,90.00000000,-93.95999908,1.21376026
Simul_-45deg,-45,-93.59999084,90.00000000,-93.59999084,1.13190281
Simul_-45deg,-45,-93.23999023,90.00000000,-93.23999023,1.05439889
Simul_-45deg,-45,-92.87999725,90.00000000,-92.87999725,0.98151714
Simul_-45deg,-45,-92.51999664,90.00000000,-92.51999664,0.91351479
Simul_-45deg,-45,-92.15999603,90.00000000,-92.15999603,0.85064244
Simul_-45deg,-45,-91.79999542,90.00000000,-91.79999542,0.79769683
Simul_-45deg,-45,-91.43999481,90.00000000,-91.43999481,0.75216776
Simul_-45deg,-45,-91.07999420,90.00000000,-91.07999420,0.71002120
Simul_-45deg,-45,-90.71999359,90.00000000,-90.71999359,0.67135864
Simul_-45deg,-45,-90.35999298,90.00000000,-90.35999298,0.63627946
Simul_-45deg,-45,-90.00000000,90.00000000,-90.00000000,0.60487092
Simul_-45deg,-45,-89.63999176,90.00000000,-89.63999176,0.58159184
Simul_-45deg,-45,-89.27999115,90.00000000,-89.27999115,0.56092358
Simul_-45deg,-45,-88.91999817,90.00000000,-88.91999817,0.54290503
Simul_-45deg,-45,-88.55999756,90.00000000,-88.55999756,0.52756971
Simul_-45deg,-45,-88.19999695,90.00000000,-88.19999695,0.51494545
Simul_-45deg,-45,-87.83999634,90.00000000,-87.83999634,0.49567714
Simul_-45deg,-45,-87.47999573,90.00000000,-87.47999573,0.46675760
Simul_-45deg,-45,-87.11999512,90.00000000,-87.11999512,0.43968832
Simul_-45deg,-45,-86.75999451,90.00000000,-86.75999451,0.41450346
Simul_-45deg,-45,-86.39999390,90.00000000,-86.39999390,0.39123639
Simul_-45deg,-45,-86.04000092,90.00000000,-86.04000092,0.36991981
Simul_-45deg,-45,-85.67999268,90.00000000,-85.67999268,0.32385272
Simul_-45deg,-45,-85.31999207,90.00000000,-85.31999207,0.27531695
Simul_-45deg,-45,-84.95999146,90.00000000,-84.95999146,0.22762217
Simul_-45deg,-45,-84.59999847,90.00000000,-84.59999847,0.18080442
Simul_-45deg,-45,-84.23999786,90.00000000,-84.23999786,0.13489452
Simul_-45deg,-45,-83.87999725,90.00000000,-83.87999725,0.08421361
Simul_-45deg,-45,-83.51998901,90.00000000,-83.51998901,0.02255479
Simul_-45deg,-45,-83.15999603,90.00000000,-83.15999603,-0.03887898
Simul_-45deg,-45,-82.79999542,90.00000000,-82.79999542,-0.10006991
Simul_-45deg,-45,-82.43999481,90.00000000,-82.43999481,-0.16099511
Simul_-45deg,-45,-82.07999420,90.00000000,-82.07999420,-0.22162843
Simul_-45deg,-45,-81.72000122,90.00000000,-81.72000122,-0.29622602
Simul_-45deg,-45,-81.35999298,90.00000000,-81.35999298,-0.37478483
Simul_-45deg,-45,-80.99999237,90.00000000,-80.99999237,-0.45322147
Simul_-45deg,-45,-80.63999939,90.00000000,-80.63999939,-0.53150141
Simul_-45deg,-45,-80.27999878,90.00000000,-80.27999878,-0.60959274
Simul_-45deg,-45,-79.91999817,90.00000000,-79.91999817,-0.69272590
Simul_-45deg,-45,-79.55998993,90.00000000,-79.55998993,-0.79363698
Simul_-45deg,-45,-79.19999695,90.00000000,-79.19999695,-0.89353615
Simul_-45deg,-45,-78.83999634,90.00000000,-78.83999634,-0.99230301
Simul_-45deg,-45,-78.47999573,90.00000000,-78.47999573,-1.08980012
Simul_-45deg,-45,-78.11999512,90.00000000,-78.11999512,-1.18589473
Simul_-45deg,-45,-77.76000214,90.00000000,-77.76000214,-1.27499938
Simul_-45deg,-45,-77.39999390,90.00000000,-77.39999390,-1.35680342
Simul_-45deg,-45,-77.03999329,90.00000000,-77.03999329,-1.43313468
Simul_-45deg,-45,-76.67999268,90.00000000,-76.67999268,-1.50367272
Simul_-45deg,-45,-76.31999969,90.00000000,-76.31999969,-1.56811297
Simul_-45deg,-45,-75.95999908,90.00000000,-75.95999908,-1.62317681
Simul_-45deg,-45,-75.59999084,90.00000000,-75.59999084,-1.64558530
Simul_-45deg,-45,-75.23999023,90.00000000,-75.23999023,-1.65733147
Simul_-45deg,-45,-74.87999725,90.00000000,-74.87999725,-1.65833056
Simul_-45deg,-45,-74.51999664,90.00000000,-74.51999664,-1.64857614
Simul_-45deg,-45,-74.15999603,90.00000000,-74.15999603,-1.62813830
Simul_-45deg,-45,-73.79999542,90.00000000,-73.79999542,-1.59615695
Simul_-45deg,-45,-73.43999481,90.00000000,-73.43999481,-1.55004930
Simul_-45deg,-45,-73.07999420,90.00000000,-73.07999420,-1.49020267
Simul_-45deg,-45,-72.71999359,90.00000000,-72.71999359,-1.41718400
